序号,股票代码,股票简称,所属概念
17,300414,中光防雷,专精特新;军工;无人机;高铁;高压快充;5G;华为概念;数据中心;新能源汽车;光伏概念;风电;西部大开发;融资融券
18,002561,徐家汇,社区团购;乡村振兴;电子商务;上海国企改革;物业管理;国企改革;融资融券
19,300863,卡倍亿,小米汽车;华为汽车;特斯拉概念;长安汽车概念;机器人概念;铜缆高速连接;新能源汽车;储能;融资融券
20,000782,恒申新材,军工
21,600966,博汇纸业,【沪股通】;【融资融券】
22,605507,国邦医药,合成生物;流感;幽门螺杆菌概念;宠物经济;沪股通
23,000897,津滨发展,天津自贸区;国企改革;雄安新区;京津冀一体化
24,605588,冠石科技,华为手机;OLED;消费电子概念;芯片概念;小米概念;苹果概念;柔性屏(折叠屏);华为概念;富士康概念
25,002218,拓日新能,光伏建筑一体化;光伏概念;HJT电池;钙钛矿电池;绿色电力;POE胶膜;粤港澳大湾区;芯片概念;深股通;融资融券
26,603203,快克智能,汽车电子;新能源汽车;比亚迪概念;工业互联网;无线耳机;机器人概念;新型工业化;苹果概念;富士康概念;智能穿戴;机器视觉;OLED;华为概念;芯片概念;先进封装;宁德时代概念;人工智能;高端装备;中芯国际概念;专精特新;高股息精选;沪股通
27,002014,永新股份,供销社;高股息精选;绿色电力;深股通
28,603878,武进不锈,光热发电;海工装备;超超临界发电;核电;氢能源
29,002706,良信股份,智能家居;数据中心;换电概念;新能源汽车;充电桩;物联网;储能;智能电网;华为概念;光伏概念;风电;核电;高股息精选;融资融券;深股通
30,603026,石大胜华,锂电池概念;环氧丙烷;国企改革;宁德时代概念;燃料电池;新能源汽车;沪股通;融资融券
31,301516,中远通,高压快充;新型工业化;5G;储能;换电概念;粤港澳大湾区;充电桩;光伏概念;比亚迪概念;核电;新能源汽车;氢能源;燃料电池;国企改革;深股通;中字头股票;融资融券
32,300293,蓝英装备,光刻机;人工智能;新型工业化;工业母机;高端装备;人民币贬值受益;氢能源;特斯拉概念;一带一路;深股通
33,002694,顾地科技,地下管网;新型城镇化;空气能热泵;体育产业;水利;旅游概念
34,301296,新巨丰,【食品安全】;【股权转让(并购重组)】;【融资融券】
35,600586,金晶科技,钙钛矿电池;光伏建筑一体化;建筑节能;光伏概念;一带一路;低辐射玻璃(Low-E);特斯拉概念;融资融券;沪股通
36,603738,泰晶科技,汽车电子;比亚迪概念;机器人概念;人形机器人;无人机;MCU芯片;华为概念;华为海思概念股;宁德时代概念;汽车芯片;光刻机;卫星导航;军工;创投;专精特新;融资融券;沪股通
37,002845,同兴达,无人驾驶;华为概念;低空经济;虚拟现实;柔性屏(折叠屏);芯片概念;粤港澳大湾区;机器人概念;OLED;MicroLED概念;汽车电子;机器视觉;智能家居;智能穿戴;小米概念;先进封装;无人机;消费电子概念;MiniLED;富士康概念;广东自贸区;回购增持再贷款概念;深股通
38,600769,祥龙电业,国企改革
39,603016,新宏泰,【特高压】;【国企改革】
40,603527,众源新材,新能源汽车;3D打印;锂电池概念;高端装备;固态电池;融资融券
41,603324,盛剑科技,华为海思概念股;先进封装;芯片概念;华为概念;光刻胶;中芯国际概念;节能环保;宁德时代概念;专精特新;回购增持再贷款概念
42,600035,楚天高速,高股息精选;国企改革;氢能源;ETC;智能医疗;智能交通;在线教育;车联网(车路协同);物联网;人工智能;华为概念;国产操作系统;WiFi 6;无线耳机;沪股通;融资融券
43,603153,上海建科,化债概念(AMC概念);建筑节能;装配式建筑;上海国企改革;房屋检测;新型城镇化;节能环保;PPP概念;雄安新区;一带一路;水利;国企改革;碳中和;无人机;智慧城市;数字孪生;人工智能;数字经济;文化传媒概念;数据中心;虚拟电厂;阿里巴巴概念;自由贸易港;沪股通
44,603687,大胜达,烟草;共同富裕示范区;数字水印;光伏概念;工业互联网;钙钛矿电池;ChatGPT概念;人工智能;AIGC概念;数字孪生;物联网
45,300289,利德曼,医疗器械概念;辅助生殖;智能医疗;猴痘概念;国企改革
46,603187,海容冷链,【冷链物流】;【无人零售】;【沪股通】
47,000862,银星能源,绿色电力;碳中和;风电;西部大开发;央企国企改革;国企改革;智能电网;2025一季报预增;深股通
48,300396,迪瑞医疗,猴痘概念;肝炎概念;医疗器械概念;智能医疗;中俄贸易概念;多模态AI;国企改革;央企国企改革;证金持股;深股通
49,000070,ST特信,ST板块;深圳国企改革;F5G概念;特高压;创投;智慧灯杆;国企改革;光纤概念;国资云;5G;6G概念;一带一路;智能电网;粤港澳大湾区;数据中心;芯片概念;智慧城市;无人机;卫星导航;华为概念;低空经济;算力租赁;军工;东数西算(算力);军工信息化;信创;百度概念;人工智能;抖音概念(字节概念);绿色电力;腾讯概念
50,301207,华兰疫苗,肝炎概念;流感;生物疫苗;禽流感;深股通;融资融券
51,002623,亚玛顿,建筑节能;钙钛矿电池;光伏概念;POE胶膜;光伏建筑一体化;一带一路;低辐射玻璃(Low-E);特斯拉概念;绿色电力;融资融券
52,002205,国统股份,装配式建筑;新型城镇化;地下管网;水利;污水处理;雄安新区;PPP概念;新疆振兴;西部大开发;高铁;国企改革;风电;央企国企改革
53,600780,通宝能源,绿色电力;风电;国企改革;证金持股;沪股通;融资融券
54,002883,中设股份,新型城镇化;雄安新区;水利;智慧城市;地下管网;低空经济;数字经济;PPP概念;智能交通;污水处理;车联网(车路协同);回购增持再贷款概念;国企改革;土壤修复;固废处理;乡村振兴
55,002083,孚日股份,中俄贸易概念;一带一路;创投;人民币贬值受益;锂电池概念;国企改革;回购增持再贷款概念;电子商务;三胎概念;军工;托育服务;军民融合;股权转让(并购重组)
56,603058,永吉股份,烟草;创投;2024年报预增;工业大麻;西部大开发;第三代半导体;芯片概念
57,002889,东方嘉盛,光刻机;自由贸易港;互联网金融;数字经济;智能物流;统一大市场;人工智能;粤港澳大湾区;跨境电商;华为概念;DeepSeek概念;冷链物流;一带一路;机器人概念;特斯拉概念;电子商务;航运概念;生物疫苗
58,002733,雄韬股份,新能源汽车;数据中心;燃料电池;5G;动力电池回收;钠离子电池;人民币贬值受益;储能;百度概念;固态电池;锂电池概念;无人机;阿里巴巴概念;粤港澳大湾区;石墨烯;氢能源;专精特新;一带一路;深股通;融资融券
59,002787,华源控股,长三角一体化;创投;锂电池概念;2024年报预增;食品安全
60,300988,津荣天宇,专精特新;小米汽车;新型工业化;比亚迪概念;工业母机;汽车热管理;小米概念;新能源汽车;汽车电子;储能;锂电池概念;充电桩;智能电网;数据中心;光伏概念;氢能源;风电;一带一路;融资融券
61,600257,大湖股份,预制菜;社区团购;乡村振兴;白酒概念;电子商务;高压氧舱;民营医院;污水处理;净水概念;养老概念;回购增持再贷款概念;创投;智能医疗;融资融券
62,000404,长虹华意,家用电器;智能家居;汽车热管理;新能源汽车;锂电池概念;节能环保;回购增持再贷款概念;高股息精选;国企改革;冷链物流;融资融券
63,601033,永兴股份,生物质能发电;绿色电力;固废处理;PPP概念;医疗废物处理;国企改革;节能环保;粤港澳大湾区;沪股通;融资融券
64,301246,宏源药业,猴痘概念;合成生物;固态电池;锂电池概念;氟化工概念;比亚迪概念;深股通;融资融券
65,002884,凌霄泵业,空气能热泵;人民币贬值受益;水利;高股息精选;深股通
66,603811,诚意药业,仿制药一致性评价;流感;肝炎概念;医药电商;猴痘概念;维生素;医疗器械概念;回购增持再贷款概念
67,301376,致欧科技,ChatGPT概念;跨境电商;人民币贬值受益;足球概念;网红经济;数字经济;露营经济;体育产业;创投;电子商务;宠物经济;回购增持再贷款概念;深股通;融资融券
68,002559,亚威股份,工业母机;新型工业化;新能源汽车;比亚迪概念;机器人概念;工业互联网;机器视觉;高端装备;OLED;存储芯片;智能物流;华为概念;军工;信创;军民融合;芯片概念;光伏概念;光刻胶;深股通
69,002193,如意集团,跨境电商;人民币贬值受益;数字经济;工业互联网;新疆振兴
70,300711,广哈通信,军工信息化;卫星导航;军工;6G概念;人脸识别;华为鲲鹏;军民融合;低空经济;数据要素;信创;人工智能;高铁;5G;智能电网;储能;工业互联网;语音技术;国企改革;抽水蓄能
71,600523,贵航股份,成飞概念;军民融合;航空发动机;军工;低空经济;高端装备;华为汽车;长安汽车概念;汽车热管理;新能源汽车;华为数字能源;比亚迪概念;传感器;小米汽车;华为概念;储能;小米概念;央企国企改革;西部大开发;国企改革;融资融券;沪股通
72,301559,中集环科,智能物流;一带一路;物联网;人民币贬值受益;天然气;医疗器械概念;核电;深股通;融资融券
73,600897,厦门空港,国企改革;海峡两岸;福建自贸区;沪股通;融资融券
74,002971,和远气体,有机硅概念;燃料电池;专精特新;氢能源;天然气
75,301519,舜禹股份,净水概念;专精特新;地下管网;节能环保;新型城镇化;水利;污水处理;京津冀一体化;智慧城市;PPP概念;回购增持再贷款概念;乡村振兴;融资融券
76,002349,精华制药,流感;仿制药一致性评价;肝炎概念;医药电商;养老概念;国企改革;锂电池概念;深股通;融资融券
77,002795,永和智控,人民币贬值受益;TOPCON电池;医疗器械概念;民营医院;光伏概念;BC电池
78,002479,富春环保,生物质能发电;黄金概念;绿色电力;金属铜;固废处理;垃圾分类;金属回收;污水处理;节能环保;PPP概念;国企改革;高股息精选
79,000755,山西高速,绿色电力;国企改革;乡村振兴;一带一路;智能交通;深股通;融资融券
80,300175,ST朗源,算力租赁;数字经济;数据中心;电子商务;ST板块;人民币贬值受益;冷链物流;期货概念;工业大麻;土地流转
81,603105,芯能科技,绿色电力;光伏建筑一体化;光伏概念;回购增持再贷款概念;虚拟电厂;长三角一体化;共同富裕示范区;充电桩;储能;沪股通;融资融券
82,002469,三维化学,煤化工概念;光热发电;固废处理;氢能源;垃圾分类;节能环保;一带一路;储能;高股息精选;融资融券
83,601518,吉林高速,国企改革
84,603029,天鹅股份,供销社;乡村振兴;农机;专精特新;新型工业化
85,002140,东华科技,光热发电;一带一路;钛白粉概念;可降解塑料;固废处理;锂电池概念;POE胶膜;氢能源;土壤修复;节能环保;污水处理;医疗废物处理;PPP概念;盐湖提锂;石墨烯;PM2.5;国企改革;煤化工概念;融资融券;股权转让(并购重组);深股通
86,002404,嘉欣丝绸,跨境电商;长三角一体化;共同富裕示范区;人民币贬值受益;网络直播;电子商务;石墨烯;一带一路;三胎概念;光伏概念;绿色电力;高股息精选;IP经济(谷子经济)
87,603098,森特股份,腾讯概念;光伏概念;节能环保;建筑节能;光伏建筑一体化;一带一路;噪声防治;专精特新;土壤修复;沪股通;融资融券
88,603111,康尼机电,工业母机;新能源汽车;工业互联网;比亚迪概念;新型工业化;充电桩;高铁;无人驾驶;机器人概念;高端装备;一带一路;医疗器械概念;智能医疗;养老概念;沪股通
89,300195,长荣股份,ERP概念;专精特新;机器视觉;人工智能;新型工业化;烟草;智能物流;物联网;数字经济;C2M概念;工业母机;机器人概念;信创;网络安全;中俄贸易概念;工业互联网;高端装备;区块链;京津冀一体化;锂电池概念;数据中心;光伏概念;医疗器械概念;一带一路
90,603316,诚邦股份,建筑节能;存储芯片;共同富裕示范区;芯片概念;新型城镇化;房屋检测;水利;节能环保;特色小镇;污水处理;碳中和;PPP概念;地下管网
91,600284,浦东建设,自由贸易港;上海国企改革;国企改革;上海自贸区;水利;建筑节能;高股息精选;证金持股;创投;车联网(车路协同);沪股通;融资融券
92,600308,华泰股份,【环氧丙烷】;【沪股通】;【融资融券】
93,000411,英特集团,医药电商;医美概念;医疗器械概念;国企改革;冷链物流;互联网医疗;电子商务;共同富裕示范区;减肥药;跨境电商;数字经济;股权转让(并购重组);深股通
94,600969,郴电国际,绿色电力;地下管网;污水处理;PPP概念;国企改革;节能环保;充电桩;一带一路;燃料电池;2025一季报预增
95,600135,乐凯胶片,雄安新区;京津冀一体化;光伏概念;医疗器械概念;国企改革;央企国企改革;锂电池概念;柔性屏(折叠屏);参股保险;固态电池;融资融券
96,603987,康德莱,医疗器械概念;辅助生殖;医美概念;分拆上市意愿;专精特新
97,600425,青松建化,水泥概念;同花顺中特估100;煤炭概念;新疆振兴;化肥;证金持股;国企改革;高股息精选;西部大开发;一带一路;氢能源;沪股通;融资融券
98,000949,新乡化纤,【新疆振兴】;【国企改革】;【深股通】
99,300453,三鑫医疗,【医疗器械概念】;【工业互联网】
100,000058,深赛格,深圳国企改革;物业管理;创投;光伏建筑一体化;国企改革;光伏概念;华为概念;卫星导航;电子商务;电子竞技;绿色电力;深股通;融资融券
101,002833,弘亚数控,新能源汽车;减速器;新型工业化;机器人概念;高端装备;粤港澳大湾区;专精特新;DeepSeek概念;高股息精选;深股通
102,002641,公元股份,光伏建筑一体化;地下管网;光伏概念;新型城镇化;天然气;京津冀一体化;水利;共同富裕示范区;储能;机器人概念;融资融券;深股通
103,300019,硅宝科技,有机硅概念;比亚迪概念;宁德时代概念;长安汽车概念;锂电池概念;固态电池;小米概念;新能源汽车;硅能源;高铁;光伏概念;无人机;5G;军工;装配式建筑;雄安新区;特高压;西部大开发;核电;可控核聚变;深股通;融资融券
104,603182,嘉华股份,【人造肉】;【粮食概念】;【大豆】;【乡村振兴】
105,002997,瑞鹄模具,一体化压铸;华为汽车;小米汽车;新型工业化;机器人概念;比亚迪概念;新能源汽车;人工智能;专精特新;2024年报预增;深股通;融资融券
106,603396,金辰股份,TOPCON电池;HJT电池;钙钛矿电池;光伏概念;氢能源;高端装备;一带一路;新型工业化;专精特新;沪股通;融资融券
107,600822,上海物贸,统一大市场;上海国企改革;上海自贸区;智能物流;数据要素;网络直播;国企改革;融资融券
108,603299,苏盐井神,NMN概念;天然气;高股息精选;国企改革;储能;钠离子电池;沪股通;融资融券
109,600099,林海股份,两轮车;无人驾驶;农机;专精特新;国企改革;央企国企改革;乡村振兴
110,002538,司尔特,磷化工;化肥;农村电商;生态农业;民营医院;乡村振兴;金属锌;金属铜;金属铅;2024年报预增;电子商务;黄金概念;工业互联网;融资融券;深股通
111,603551,奥普科技,高股息精选;电子商务;家用电器;智能家居;华为概念
112,000789,万年青,【水泥概念】;【国企改革】;【融资融券】
113,600538,国发股份,医疗器械概念;消毒剂;眼科医疗;医药电商;基因测序;西部大开发;智慧城市
114,002016,世荣兆业,物业管理;广东自贸区;一带一路;国企改革;粤港澳大湾区;深股通;融资融券
115,000570,苏常柴A,农机;锂电池概念;参股银行;国企改革;无人机;乡村振兴;华为概念
116,301165,锐捷网络,WiFi 6;AIGC概念;东数西算(算力);腾讯概念;抖音概念(字节概念);共封装光学(CPO);网络安全;信创;阿里巴巴概念;快手概念;液冷服务器;百度概念;云办公;中国AI 50;数据中心;小米概念;人工智能;5G;国资云;数字经济;6G概念;新型工业化;智能医疗;工业互联网;2025一季报预增;互联网医疗;一带一路;国企改革;蚂蚁金服概念;深股通;融资融券
117,300318,博晖创新,生物疫苗;肝炎概念;流感;三胎概念;猴痘概念;医疗器械概念;京津冀一体化;深股通
118,002483,润邦股份,海工装备;高端装备;风电;人民币贬值受益;一带一路;天然气;医疗废物处理;固废处理;2024年报预增;污水处理;国企改革;航运概念;深股通;融资融券
119,000551,创元科技,减速器;空气能热泵;特斯拉概念;新能源汽车;家用电器;机器人概念;创投;特高压;氢能源;节能环保;芯片概念;一带一路;PM2.5;军工;商业航天;职业教育;污水处理;参股银行;中芯国际概念;军民融合;国企改革;期货概念;猴痘概念;融资融券
120,603886,元祖股份,【高股息精选】;【长三角一体化】
121,002381,双箭股份,【长三角一体化】;【养老概念】;【高股息精选】
122,600336,澳柯玛,智能家居;物联网;机器人概念;空气能热泵;物业管理;创投;家用电器;DeepSeek概念;跨境电商;医疗器械概念;网络直播;冷链物流;净水概念;电子商务;冰雪产业;国企改革;融资融券
123,301362,民爆光电,人民币贬值受益;专精特新;节能环保;C2M概念;一带一路;电子商务;生态农业;融资融券
124,605305,中际联合,风电;专精特新;京津冀一体化;沪股通;融资融券
125,603511,爱慕股份,三胎概念;网络直播;跨境电商;IP经济(谷子经济);电子商务;参股银行;高股息精选
126,603759,海天股份,绿色电力;光伏概念;固废处理;污水处理;PPP概念;储能;生物质能发电;回购增持再贷款概念;西部大开发;TOPCON电池;HJT电池;BC电池;DeepSeek概念;无人机
127,002918,蒙娜丽莎,【智能家居】;【创投】;【数据中心】
128,002815,崇达技术,AI PC;PCB概念;汽车电子;特斯拉概念;毫米波雷达;共封装光学(CPO);柔性屏(折叠屏);5G;比亚迪概念;华为手机;人形机器人;机器人概念;数据中心;华为概念;传感器;百度概念;先进封装;无人机;深股通
129,300389,艾比森,MicroLED概念;虚拟现实;柔性屏(折叠屏);MiniLED;华为概念;数字经济;人民币贬值受益;储能;创投;足球概念;深股通
130,603628,清源股份,光伏概念;光伏建筑一体化;建筑节能;福建自贸区;储能;回购增持再贷款概念;绿色电力;融资融券
131,603755,日辰股份,预制菜
132,603035,常熟汽饰,特斯拉概念;新能源汽车;华为汽车;小米汽车;比亚迪概念;智能座舱;小米概念;机器视觉;回购增持再贷款概念;沪股通;融资融券
133,300806,斯迪克,消费电子概念;富士康概念;柔性屏(折叠屏);专精特新;苹果概念;汽车电子;无线耳机;虚拟现实;华为概念;PCB概念;特斯拉概念;新能源汽车;石墨烯;光刻胶;氢能源;深股通
134,301047,义翘神州,重组蛋白;细胞免疫治疗;CRO概念;猴痘概念;肝炎概念;合成生物;智能医疗;人民币贬值受益;京津冀一体化;流感;人工智能;深股通;融资融券
135,301065,本立科技,【丙烯酸】;【共同富裕示范区】;【融资融券】
136,000019,深粮控股,粮食概念;预制菜;冷链物流;高股息精选;电子商务;深圳国企改革;国企改革;一带一路;数字乡村;深股通
137,000529,广弘控股,预制菜;社区团购;猪肉;养鸡;冷链物流;国企改革;广东自贸区;创投;粤港澳大湾区
138,000557,西部创业,统一大市场;国企改革;西部大开发;一带一路;煤炭概念;股权转让(并购重组);深股通;融资融券
139,000718,苏宁环球,医美概念;文化传媒概念;牙科医疗;深股通;融资融券
140,000816,智慧农业,农村电商;乡村振兴;农机;数字乡村;盐湖提锂;储能;减速器;小金属概念;金属铜;金属铅;金属锌;融资融券
141,000900,现代投资,高股息精选;固废处理;垃圾分类;参股券商;医疗废物处理;PPP概念;证金持股;国企改革;参股银行;预制菜;充电桩;期货概念;智能交通;互联网金融;深股通;融资融券
142,001360,南矿集团,固废处理;节能环保;金属回收;一带一路;高端装备;专精特新;机器视觉;融资融券
143,002302,西部建设,水泥概念;央企国企改革;装配式建筑;新疆振兴;雄安新区;国企改革;西部大开发;同花顺中特估100;一带一路;风电;核电;数字经济;数据要素;3D打印;深股通;融资融券
144,002453,华软科技,【光刻胶】;【电子商务】;【融资融券】
145,002494,华斯股份,物业管理;网红经济;特色小镇;电子商务;网络直播;创投;中俄贸易概念;雄安新区;社区团购;抖音概念(字节概念)
146,002662,峰璟股份,特斯拉概念;新能源汽车;燃料电池;比亚迪概念;锂电池概念;储能;氢能源;深股通;融资融券
147,002726,龙大美食,预制菜;猪肉;电子商务;网络直播;融资融券;深股通
148,002863,今飞凯达,一体化压铸;长安汽车概念;华为汽车;长三角一体化;新能源汽车;两轮车;比亚迪概念;光伏概念;中俄贸易概念;一带一路;数字经济;回购增持再贷款概念;融资融券
149,300375,鹏翎股份,汽车热管理;比亚迪概念;长安汽车概念;小米汽车;新能源汽车;宁德时代概念;华为汽车;小米概念;百度概念;2024年报预增;京津冀一体化
150,301115,联检科技,食品安全;土壤修复;新型城镇化;水利;节能环保;碳中和;房屋检测;高铁;一带一路;智慧城市;家用电器;芯片概念;传感器;特斯拉概念;融资融券
151,301418,协昌科技,【芯片概念】;【石墨烯】;【两轮车】;【融资融券】
152,600261,阳光照明,氢能源;人民币贬值受益;参股券商;智能家居;高股息精选;证金持股;融资融券
153,600272,开开实业,医药电商;民营医院;互联网医疗;电子商务;上海国企改革;参股银行;国企改革
154,600351,亚宝药业,仿制药一致性评价;流感;维生素;幽门螺杆菌概念;创新药;三胎概念;沪股通;融资融券
155,600467,好当家,预制菜;中韩自贸区;乡村振兴;白酒概念;电子商务;流感;融资融券
156,600527,江南高纤,【互联网金融】;【高股息精选】
157,600726,华电能源,超超临界发电;绿色电力;煤炭概念;央企国企改革;黑龙江自贸区;国企改革;沪股通
158,601096,宏盛华源,国企改革;央企国企改革;装配式建筑;核电;特高压;光伏概念;智能电网;2024年报预增;沪股通;融资融券
159,603010,万盛股份,磷化工;锂电池概念;芯片概念;新能源汽车;比亚迪概念;合成生物;融资融券;沪股通
160,603227,雪峰科技,化肥;新疆振兴;民爆概念;国企改革;西部大开发;天然气;无人驾驶;华为概念;沪股通;融资融券
161,603329,上海雅仕,统一大市场;自由贸易港;新疆振兴;上海自贸区;国企改革;一带一路;2024年报预增;长三角一体化;融资融券
162,603357,设计总院,新型城镇化;地下管网;水利;国企改革;雄安新区;高股息精选;一带一路;量子科技;智慧城市;低空经济;空间计算;DeepSeek概念;智能交通;车联网(车路协同);云计算;沪股通;融资融券
163,603817,海峡环保,绿色电力;固废处理;污水处理;国企改革;PPP概念;垃圾分类;海峡两岸;福建自贸区
164,603938,三孚股份,有机硅概念;芯片概念;沪股通;融资融券
165,605007,五洲特纸,【共同富裕示范区】;【沪股通】
166,603071,物产环能,生物质能发电;煤炭概念;绿色电力;高股息精选;污水处理;国企改革;碳中和;节能环保;中俄贸易概念;储能;充电桩;智能电网;统一大市场;换电概念;沪股通
167,603309,维力医疗,【医疗器械概念】;【人民币贬值受益】
168,603968,醋化股份,【维生素】;【代糖概念】
169,002170,芭田股份,磷化工;锂电池概念;无人机;钠离子电池;2024年报预增;垃圾分类;农村电商;化肥;物联网;2025一季报预增;生态农业;乡村振兴;数字乡村;土地流转;转基因;深股通
170,301500,飞南资源,金属镍;金属铜;金属锌;汽车拆解概念;广东自贸区;金属回收;黄金概念;DeepSeek概念;节能环保;小金属概念;固废处理;比亚迪概念;碳中和;深股通;融资融券
171,605377,华旺科技,【高股息精选】;【沪股通】
172,301135,瑞德智能,机器人概念;传感器;毫米波雷达;汽车电子;家用电器;空气能热泵;PCB概念;语音技术;人脸识别;物联网;工业互联网;智能家居;充电桩;人工智能;储能;芯片概念;锂电池概念;医疗器械概念;回购增持再贷款概念;宠物经济;融资融券
173,300668,杰恩设计,新型城镇化;ERP概念;华为概念;数据确权;股权转让(并购重组)
174,300213,佳讯飞鸿,机器视觉;AI智能体;新型工业化;云计算;ChatGPT概念;安防;数据安全;数据要素;智慧政务;专精特新;智能交通;人工智能;机器人概念;百度概念;物联网;卫星导航;元宇宙;智慧城市;华为概念;5G;数据中心;DeepSeek概念;商业航天;无人机;军工信息化;军工;工业互联网;高铁;独角兽概念;京津冀一体化;跨境电商;一带一路
175,002394,联发股份,光伏概念;创投;一带一路;网络直播;机器人概念;数字经济
176,603726,朗迪集团,空气能热泵;家用电器;创投;机器人概念;2024年报预增;先进封装;高股息精选
177,301123,奕东电子,铜缆高速连接;消费电子概念;PCB概念;小米概念;新型烟草(电子烟);汽车电子;比亚迪概念;新能源汽车;储能;宁德时代概念;深股通;融资融券
178,301507,民生健康,维生素;医美概念;医药电商;毛发医疗;电子商务;共同富裕示范区;深股通;融资融券
179,000919,金陵药业,流感;仿制药一致性评价;民营医院;医美概念;创新药;高压氧舱;医疗器械概念;互联网医疗;国企改革;养老概念;创投
180,002587,奥拓电子,柔性屏(折叠屏);智慧灯杆;MR(混合现实);5G;消费电子概念;MiniLED;机器人概念;腾讯概念;元宇宙;苹果概念;语音技术;虚拟现实;虚拟数字人;英伟达概念;华为概念;物联网;在线教育;粤港澳大湾区;数字经济;ChatGPT概念;抖音概念(字节概念);智慧城市;人工智能;智慧政务;区块链;人脸识别;MicroLED概念;体育产业;AIGC概念;华为鲲鹏;国产操作系统;专精特新;足球概念;广东自贸区;信创
181,300670,大烨智能,电力物联网;储能;智能电网;碳纤维;光伏建筑一体化;工业互联网;风电;海工装备
182,300658,延江股份,【三胎概念】;【人民币贬值受益】;【福建自贸区】
183,000153,丰原药业,仿制药一致性评价;流感;维生素;眼科医疗;参股银行;代糖概念;创投
184,300314,戴维医疗,三胎概念;基因测序;智能医疗;医疗器械概念;DeepSeek概念;共同富裕示范区
185,600235,民丰特纸,国企改革;长三角一体化;共同富裕示范区;创投;烟草;回购增持再贷款概念;2024年报预增
186,603700,宁水集团,阿里巴巴概念;虚拟数字人;元宇宙;物联网;华为概念;人工智能;传感器;DeepSeek概念;智慧城市;中俄贸易概念;地下管网
187,002796,世嘉科技,6G概念;5G;储能;军工;医疗器械概念;一带一路;融资融券
188,600222,太龙药业,流感;创新药;CRO概念;禽流感;三胎概念;参股银行;国企改革;乡村振兴;农业种植;融资融券
189,300500,启迪设计,房屋检测;新型城镇化;建筑节能;装配式建筑;节能环保;光伏建筑一体化;数字孪生;碳中和;储能;雄安新区;智慧城市;车联网(车路协同);DeepSeek概念;光伏概念;虚拟数字人;AIGC概念;华为概念;虚拟现实;华为昇腾;风电;医疗废物处理;数据中心;乡村振兴;绿色电力
190,002188,中天服务,物业管理;长三角一体化;共同富裕示范区
191,300086,康芝药业,三胎概念;辅助生殖;幽门螺杆菌概念;海南自贸区;肝炎概念;流感;电子商务;医药电商;仿制药一致性评价;消毒剂
192,002516,旷达科技,华为汽车;新能源汽车;汽车电子;消费电子概念;智能穿戴;5G;卫星导航;芯片概念;先进封装;汽车芯片;绿色电力;深股通
193,600847,万里股份,西部大开发
194,600854,春兰股份,物业管理;家用电器;电子商务;超超临界发电;军民融合;高股息精选
195,600526,菲达环保,污水处理;碳中和;PPP概念;国企改革;节能环保;碳交易;PM2.5;共同富裕示范区;机器人概念
196,603909,建发合诚,新型城镇化;房屋检测;水利;国企改革;海峡两岸;福建自贸区;智慧城市
